Country,Created_Date,Estimated_Yearly_Earning,Subscribe_Rank,Subscribers,Type,Uploads,Username,Views,Views_Rank
AE,"Jan 14th, 2007","
$14.1K - $225.8K ",2422,"3,046,368",Howto,130,Huda Beauty,"117,567,844","24,051st"
,"Dec 7th, 2017","
$67.5K - $1.1M ",2421,"3,603,928",People,30,Nilson Izaias Papinho Oficial,"26,429,934","133,146th"
DE,"Oct 14th, 2007","
$11.3K - $180.1K ",2420,"3,045,782",Entertainment,809,LeFloid,"661,405,035","3,512th"
PR,"Sep 27th, 2011","
$19.4K - $310.4K ",2419,"3,047,833",Music,41,elvecindariocalle13,"367,933,094","7,036th"
GB,"Feb 28th, 2009","
$96.6K - $1.5M ",2418,"3,047,673",Education,207,KidsTV123,"3,576,131,915",359th
GB,"Dec 3rd, 2010","
$50 - $801 ",2417,"3,047,018",Music,65,Cher Lloyd,"7,115,038","362,991st"
CA,"Feb 16th, 2010","
$35.3K - $565.4K ",2416,"3,055,343",People,287,Peter McKinnon,"180,574,237","15,275th"
US,"Apr 13th, 2011","
$218.9K - $3.5M ",2415,"3,060,565",Music,136,Meek Mill,"1,635,826,204","1,130th"
BR,"Jan 8th, 2016","
$11.9K - $190.4K ",2414,"3,052,570",People,224,GIOH,"198,004,431","13,780th"
RU,"Dec 2nd, 2009","
$24.9K - $397.8K ",2413,"3,052,134",Autos,381,smotraTV,"568,678,591","4,231st"
NO,"Sep 3rd, 2006","
$47.2K - $755K ",2412,"3,051,887",Music,713,Frog Leap Studios,"680,837,998","3,382nd"
US,"Jun 8th, 2016","
$97.4K - $1.6M ",2411,"3,054,134",Games,627,MindofRez,"552,313,644","4,363rd"
US,"Oct 10th, 2012","
$37K - $592.5K ",2410,"3,054,415",Music,124,Harlem Fetty,"1,627,763,587","1,140th"
IN,"Mar 7th, 2013","
$210.3K - $3.4M ",2409,"3,063,906",Music,"2,740",Rathore Cassettes,"993,125,190","2,126th"
KR,"Jun 7th, 2013","
$58.6K - $937.1K ",2408,"3,061,042",Comedy,305,영국남자 Korean Englishman,"770,158,508","2,919th"
IN,"Dec 19th, 2016","
$16.9K - $270.1K ",2407,"3,058,995",Howto,348,Rohit Khatri Fitness,"164,208,875","16,857th"
US,"Oct 18th, 2015","
$82.1K - $1.3M ",2406,"3,058,555",Education,"1,384",Toy Jelly,"1,018,708,928","2,062nd"
US,"Nov 9th, 2014","
$22.2K - $355.3K ",2403,"3,063,602",Tech,"1,234",Space Videos,"216,837,141","12,503rd"
VN,"Feb 20th, 2016","
$179.9K - $2.9M ",2402,"3,065,614",Entertainment,"14,816",THVL Giải Trí,"2,782,985,082",533rd
US,"Aug 1st, 2015","
$82.6K - $1.3M ",2401,"3,069,695",Entertainment,346,Barvina,"509,945,055","4,784th"
RU,"Nov 8th, 2012","
$107.5K - $1.7M ",2399,"3,068,165",Games,"2,041",Quantum Games,"941,766,916","2,266th"
US,"Aug 9th, 2015","
$197.2K - $3.2M ",2398,"3,071,189",People,927,Shot of The Yeagers,"1,559,383,851","1,213th"
PL,"Sep 19th, 2014","
$15.2K - $243.3K ",2397,"3,065,860",Film,4,Basic Simple Toys,"198,336,039","13,745th"
US,"Apr 24th, 2014","
$8.7K - $140K ",2396,"3,066,443",Music,45,Jacob Sartorius,"331,260,854","7,870th"
US,"Jul 11th, 2014","
$108.7K - $1.7M ",2395,"3,068,842",Entertainment,650,Totally TV,"786,575,894","2,837th"
PK,"Feb 6th, 2017","
$23K - $367.4K ",2394,"3,072,060",Education,737,The Urdu Teacher,"257,161,256","10,448th"
US,"May 12th, 2009","
$66.7K - $1.1M ",2392,"3,070,353",Music,10,DrDreVEVO,"1,587,234,191","1,182nd"
ES,"Apr 3rd, 2006","
$33.9K - $542.1K ",2391,"3,075,500",Comedy,29,Rubius Z,"39,899,770","71,720th"
BR,"Jul 17th, 2016","
$104.6K - $1.7M ",2390,"3,082,427",Film,382,BARBIE FILMES BR,"738,039,430","3,059th"
US,"Feb 9th, 2016","
$155.9K - $2.5M ",2388,"3,077,276",Education,384,Candy Play TV,"1,136,289,769","1,781st"
US,"Apr 5th, 2008","
$9.3K - $149.2K ",2387,"3,073,683",Games,"5,665",UberHaxorNova,"1,902,762,187",930th
CO,"Aug 10th, 2011","
$17.1K - $274.2K ",2386,"3,076,600",Sports,779,Fausto Murillo,"358,166,730","7,248th"
IN,"Jul 21st, 2015","
$82K - $1.3M ",2385,"3,083,523",People,101,Girliyapa,"262,411,633","10,248th"
KR,"Jul 30th, 2014","
$162.9K - $2.6M ",2382,"3,082,356",Entertainment,"1,345",허팝Heopop,"1,987,539,378",872nd
CA,"Jul 28th, 2010","
$17.2K - $275.2K ",2381,"3,081,730",Entertainment,459,Thunayyan Khalid,"530,517,985","4,566th"
FR,"Mar 14th, 2013","
$127.8K - $2M ",2380,"3,086,628",Music,"3,191",SkyrockFM,"1,068,481,970","1,935th"
RU,"Dec 16th, 2014","
$186.8K - $3M ",2376,"3,093,160",Entertainment,316,Говорящий Том и Друзья,"1,014,176,889","2,073rd"
US,"Oct 3rd, 2008","
$49.2K - $786.8K ",2375,"3,089,765",Games,"1,398",AngryJoeShow,"930,730,470","2,296th"
US,"May 12th, 2009","
$106.5K - $1.7M ",2374,"3,090,931",Music,55,NirvanaVEVO,"2,321,184,845",704th
,"Apr 19th, 2015","
$153.9K - $2.5M  ",2371,"3,097,171",Howto,460,Трум Трум СЕЛЕКТ,"627,329,335","3,742nd"
,"Feb 17th, 2012","
$19.6K - $314.1K ",2370,"3,093,900",Music,415,bill wurtz,"308,962,027","8,534th"
BR,"Feb 19th, 2015","
$31.4K - $502.8K ",2369,"3,099,248",People,426,Me poupe!,"123,003,790","22,979th"
BR,"Feb 11th, 2012","
$31.1K - $497.4K ",2368,"3,095,784",People,473,AssopraFitas,"327,505,302","7,994th"
ES,"Aug 30th, 2015","
$476.6K - $7.6M ",2367,"3,102,140",Entertainment,600,MikelTube,"1,894,979,962",938th
IN,"Sep 6th, 2016","
$475K - $7.6M ",2366,"3,105,842",Entertainment,"1,754",LIV Kids Hindi,"1,629,293,103","1,137th"
US,"Jan 16th, 2008","
$149.4K - $2.4M ",2365,"3,101,659",News,"2,252",GQ,"1,049,653,074","1,987th"
GB,"Apr 19th, 2010","
$15K - $239.5K ",2364,"3,095,964",Sports,"1,218",Calfreezy,"457,113,054","5,430th"
,"Dec 18th, 2016","
$151.2K - $2.4M ",2363,"3,108,472",,193,Naz | ناز,"268,933,241","9,986th"
BR,"Nov 29th, 2007","
$25K - $400.6K ",2362,"3,097,529",Comedy,824,Barbixas,"887,071,264","2,447th"
BR,"Mar 28th, 2012","
$5.4K - $86.3K ",2361,"3,097,239",Music,38,Biel,"506,849,534","4,825th"
US,"Mar 7th, 2016","
$32.3K - $517.2K ",2360,"3,099,531",Music,33,DesiignerVEVO,"924,208,448","2,322nd"
US,"Nov 21st, 2016","
$724.5K - $11.6M ",2358,"3,122,295",,64,ABCkidTV Misa,"757,967,652","2,969th"
FR,"Sep 10th, 2007","
$9.2K - $148K ",2357,"3,102,567",Music,63,Daft Punk,"121,097,765","23,314th"
US,"Apr 10th, 2015","
$3.6K - $57.1K ",2356,"3,101,182",Education,175,KC Toys,"656,552,047","3,543rd"
MX,"Jun 25th, 2015","
$22.2K - $354.6K ",2355,"3,104,808",Comedy,227,Brian Sobrevilla,"245,686,916","10,993rd"
IN,"Jun 12th, 2016","
$21.1K - $338.4K ",2353,"3,107,273",Howto,"2,096",Ayurved Samadhan,"297,121,471","8,901st"
GB,"Oct 30th, 2011","
$715 - $11.4K ",2352,"3,110,287",Music,19,Calum Scott,"30,907,338","91,600th"
BR,"Oct 4th, 2011","
$37.7K - $603.2K ",2351,"3,107,599",Games,"3,887",Febatista,"633,739,126","3,691st"
US,"Dec 28th, 2014","
$29.3K - $468.6K ",2348,"3,108,790",Music,123,Ar'mon And Trey,"358,985,183","7,231st"
MY,"Mar 21st, 2014","
$71K - $1.1M ",2347,"3,111,117",Film,602,Monsta,"1,070,970,169","1,926th"
FR,"May 28th, 2011","
$26.4K - $422.7K ",2346,"3,108,971",Tech,328,Dr Nozman,"447,609,361","5,567th"
US,"Aug 14th, 2009","
$67.8K - $1.1M ",2345,"3,109,099",Music,10,Danny Ocean,"1,889,717,079",942nd
US,"Mar 16th, 2007","
$71K - $1.1M ",2344,"3,117,329",Music,45,J. Cole,"80,375,784","35,590th"
BR,"Sep 16th, 2010","
$36.2K - $579.6K ",2343,"3,114,355",People,478,Diário das Gêmeas,"486,934,566","5,044th"
US,"Oct 27th, 2008","
$48.9K - $782.7K ",2342,"3,113,612",Entertainment,292,Working with Lemons,"1,548,056,925","1,225th"
US,"Oct 2nd, 2015","
$11.8K - $188.6K ",2341,"3,113,602",Entertainment,116,Mackenzie Ziegler,"230,502,430","11,728th"
IN,"May 16th, 2015","
$27.9K - $446.1K ",2340,"3,122,612",Autos,181,Bodybuilding workout Routine And Diet…,"164,595,162","16,810th"
,"Apr 4th, 2017","
$59.5K - $951.9K ",2339,"3,123,282",,132,CookingShooking Hindi,"214,351,341","12,655th"
US,"Oct 12th, 2017","
$116.1K - $1.9M ",2338,"3,117,761",,916,Daily Fortnite Battle Royale Moments,"810,329,937","2,745th"
CO,"Mar 5th, 2013","
$27.4K - $438K ",2337,"3,134,376",Entertainment,166,Luisa Fernanda W,"194,375,344","14,062nd"
US,"Feb 27th, 2011","
$25.1K - $401.6K ",2336,"3,117,547",Comedy,"2,609",CinnamonToastKen,"647,675,468","3,612th"
VN,"Oct 28th, 2014","
$625K - $10M ",2335,"3,143,286",Games,381,iGAMING TV,"1,241,142,620","1,606th"
KR,"Mar 28th, 2015","
$146.3K - $2.3M ",2334,"3,120,105",People,"3,139",떵개떵,"1,443,091,629","1,333rd"
US,"Jun 22nd, 2015","
$4.4K - $70.8K ",2333,"3,118,609",Film,190,Baby Ariel,"284,074,341","9,381st"
BR,"Aug 16th, 2017","
$79 - $1.3K ",2332,420,,99,Nando Moura,"60,034","7,534,776th"
AL,"Dec 6th, 2015","
$0 - $0 ",2331,"3,125,529",Film,36,Camarroket,"146,386,159","19,103rd"
VN,"May 21st, 2014","
$123.2K - $2M ",2329,"3,123,580",People,"3,197",TXT,"1,423,869,892","1,355th"
BR,"Sep 9th, 2013","
$27K - $432.2K ",2328,"3,122,550",Comedy,441,Depois das Onze,"466,899,505","5,293rd"
US,"Sep 27th, 2013","
$246.1K - $3.9M ",2327,"3,128,571",Film,"9,214",Hasbro,"4,150,253,240",291st
BR,"Mar 17th, 2015","
$256.6K - $4.1M ",2325,"3,134,898",Entertainment,614,"Fran, Bel e Nina Kids","598,128,921","3,948th"
KR,"Jul 10th, 2013","
$62.9K - $1M ",2324,"3,126,235",People,"2,086",밴쯔,"1,035,433,497","2,023rd"
US,"Sep 5th, 2012","
$17.4K - $277.9K ",2322,"3,125,946",Music,81,AustinMVEVO,"772,774,060","2,903rd"
RU,"May 19th, 2009","
$39.5K - $631.3K ",2321,"3,129,156",Games,"1,445",World of Tanks. Официальный…,"838,637,983","2,617th"
RU,"Sep 19th, 2014","
$6.7K - $107K ",2320,"3,129,453",People,172,ДЖАРАХОВ,"224,966,594","12,032nd"
US,"Jun 23rd, 2014","
$296.8K - $4.7M ",2319,"3,128,890",Music,104,HalseyVEVO,"1,460,491,376","1,317th"
GB,"May 2nd, 2014","
$9.7K - $154.4K ",2318,"3,129,432",Games,278,DanAndPhilGAMES,"581,358,012","4,104th"
,"Jan 27th, 2015","
$0 - $0 ",2317,"3,131,111",,0,Virtual Reality,0,"22,532,532nd"
US,"May 7th, 2007","
$78.8K - $1.3M ",2316,"3,133,896",Games,"1,643",penguinz0,"894,009,691","2,428th"
ES,"May 26th, 2016","
$61.8K - $988.5K ",2312,"3,135,435",Games,"1,312",WithZack,"721,390,404","3,154th"
IN,"Apr 12th, 2016","
$0 - $0 ",2311,"3,140,880",Comedy,368,Comedy Captain,"490,589,866","5,005th"
,"Apr 7th, 2016","
$29.2K - $467.4K ",2310,"3,138,737",People,892,فكرة نوسه,"303,429,859","8,697th"
US,"Jul 11th, 2006","
$24.6K - $393.1K ",2309,"3,172,280",Music,252,Prince Ea,"201,799,244","13,506th"
FR,"Oct 30th, 2009","
$33.9K - $542.5K ",2308,"3,135,545",Entertainment,"4,039",Cauet,"1,522,235,872","1,248th"
US,"Dec 18th, 2009","
$86.3K - $1.4M ",2307,"3,141,637",Comedy,256,LOL Network,"375,861,129","6,841st"
US,"Oct 28th, 2017","
$118.8K - $1.9M ",2306,"3,139,902",,157,T-Play,"976,713,623","2,172nd"
,"Nov 13th, 2017","
$20.7K - $330.4K ",2304,"3,145,244",,500,Tech Series,"94,301,630","30,190th"
IN,"May 3rd, 2013","
$205.3K - $3.3M ",2303,"3,167,290",Music,92,Emiway Bantai,"295,661,195","8,955th"
RU,"Apr 17th, 2012","
$34.8K - $556.9K ",2302,"3,145,201",Comedy,941,RED21,"689,292,561","3,340th"
TR,"Jul 24th, 2009","
$19.4K - $310.2K ",2298,"3,146,272",Games,"2,030",Burak Oyunda,"1,021,958,179","2,058th"
US,"Jul 15th, 2015","
$266.7K - $4.3M ",2296,"3,157,666",Entertainment,56,Baby Show TV,"671,384,289","3,438th"
FR,"Feb 28th, 2013","
$33.9K - $541.8K ",2293,"3,152,428",Music,26,Aymane Serhani,"739,135,090","3,052nd"
US,"Oct 15th, 2009","
$152K - $2.4M ",2291,"3,153,106",Music,240,JuanGabrielVEVO,"2,945,676,910",480th
IN,"Sep 3rd, 2016","
$36.8K - $588.7K ",2290,"3,164,988",Tech,200,iT Creators,"170,897,389","16,168th"
ID,"Dec 14th, 2012","
$242.7K - $3.9M ",2288,"3,161,287",Entertainment,"52,749",Cumicumi,"2,614,202,599",597th
US,"Nov 24th, 2011","
$26.8K - $429.1K ",2287,"3,155,350",Comedy,262,LifeAccordingToJimmy,"518,637,085","4,694th"
UA,"Oct 31st, 2014","
$49.9K - $798.4K ",2286,"3,158,739",Comedy,315,Чоткий Паца,"489,542,559","5,013th"
US,"Apr 12th, 2016","
$166.3K - $2.7M ",2284,"3,165,229",Education,220,Evan Kids,"1,129,303,581","1,802nd"
,"Feb 22nd, 2017","
$155.4K - $2.5M ",2282,"3,166,104",People,110,Hero Movies 2019,"236,597,881","11,433rd"
US,"Feb 27th, 2016","
$14.1K - $225.5K ",2281,"3,159,375",Entertainment,736,LoginfluenceKids,"867,788,222","2,512th"
BR,"Nov 6th, 2015","
$92.8K - $1.5M ",2280,"3,178,282",People,223,Painzeiro,"213,431,576","12,714th"
US,"Sep 2nd, 2009","
$230.9K - $3.7M ",2279,"3,162,777",Music,145,acdcVEVO,"3,123,530,600",443rd
CL,"Apr 26th, 2011","
$911 - $14.6K ",2278,"3,168,665",Music,87,Mon Laferte,"50,401,321","56,881st"
IN,"Jun 11th, 2014","
$176.5K - $2.8M ",2275,"3,174,828",Music,"1,771",Studio Saraswati Official,"837,342,051","2,621st"
US,"Jan 25th, 2016","
$0 - $0 ",2273,"3,171,335",Comedy,0,N / A,0,"23,542,377th"
US,"Jan 1st, 2010","
$0 - $0 ",2271,"3,172,605",Entertainment,98,JoshPalerLin,"470,359,586","5,260th"
US,"Feb 24th, 2009","
$666 - $10.7K ",2270,"3,177,939",Music,83,Backstreet Boys,"23,449,071","119,490th"
US,"May 18th, 2014","
$17.5K - $279.7K ",2269,"3,174,944",People,725,JacyandKacy,"822,973,459","2,688th"
US,"Feb 14th, 2007","
$99.2K - $1.6M ",2267,"3,179,838",Entertainment,"4,921",Animal Planet,"1,653,665,324","1,114th"
MX,"Apr 3rd, 2012","
$68.8K - $1.1M ",2266,"3,179,503",Entertainment,"8,031",Azteca Novelas,"2,180,394,278",761st
US,"Jul 28th, 2012","
$9.8K - $156.4K ",2264,"3,179,731",Sports,643,XHIT Daily,"450,489,577","5,519th"
FR,"Oct 24th, 2014","
$189.5K - $3M ",2263,"3,186,775",Film,487,OGGY,"1,720,081,266","1,056th"
US,"Nov 18th, 2014","
$164.5K - $2.6M ",2262,"3,181,066",Music,50,KygoOfficialVEVO,"2,057,739,733",825th
IN,"Aug 19th, 2015","
$265.3K - $4.2M ",2260,"3,189,965",Film,284,Premium Digiplex Movies,"1,269,118,668","1,570th"
NO,"Nov 28th, 2014","
$124.2K - $2M ",2259,"3,185,692",Games,288,Red Arcade,"898,455,644","2,415th"
ES,"Dec 13th, 2014","
$79.7K - $1.3M ",2258,"3,183,676",Entertainment,"1,042",Nexxuz World,"909,690,458","2,362nd"
US,"Aug 19th, 2016","
$70.3K - $1.1M ",2257,"3,198,567",Education,114,Doctor Mike,"169,336,913","16,343rd"
GB,"Aug 4th, 2008","
$239.6K - $3.8M ",2256,"3,191,394",Entertainment,916,Kitchen Nightmares,"1,708,941,371","1,066th"
US,"Apr 3rd, 2007","
$23.6K - $377.5K ",2255,"3,188,385",Howto,364,Maangchi,"357,115,579","7,271st"
,"May 5th, 2016","
$0 - $0 ",2254,"2,911",,0,Jordi ENP,"40,313","8,562,287th"
US,"Jan 2nd, 2006","
$1.3K - $20.6K ",2253,"3,188,611",Music,102,Alicia Keys,"43,449,385","65,834th"
IN,"Jun 13th, 2014","
$43.2K - $691.2K ",2252,"3,190,186",Education,"7,157",Mahendra Guru : Online Videos For Govt. Exams,"358,427,692","7,242nd"
MA,"Oct 11th, 2007","
$151.8K - $2.4M ",2251,"3,191,824",Entertainment,"9,572",2MTV,"1,491,837,747","1,277th"
CL,"Oct 1st, 2011","
$1K - $16.1K ",2249,"3,190,317",Entertainment,11,HolaSoyGerman2,"38,343,299","74,285th"
US,"Mar 25th, 2008","
$29.8K - $476.9K ",2247,"3,192,459",Film,346,Walt Disney Animation Studios,"2,180,679,393",760th
DE,"Oct 17th, 2012","
$134.6K - $2.2M ",2246,"3,193,373",Games,"4,816",Paluten,"1,962,427,272",887th
SA,"Feb 24th, 2011","
$2.5K - $40.4K ",2245,"3,195,282",Entertainment,109,EyshElly | ايش اللي,"395,977,396","6,438th"
US,"Feb 16th, 2011","
$172.2K - $2.8M ",2244,"3,195,830",Music,56,CalibreCincuentaVEVO,"2,312,220,949",707th
PH,"Apr 20th, 2016","
$674.5K - $10.8M ",2243,"3,210,151",News,"2,229",Raffy Tulfo in Action,"1,452,799,416","1,323rd"
IQ,"Sep 14th, 2014","
$53.3K - $852.6K ",2241,"3,201,760",Music,146,Mohamed AlSalim | محمد السالم,"1,045,054,121","2,000th"
AU,"Sep 21st, 2011","
$3.2K - $50.5K ",2240,"3,200,460",Howto,596,MyCupcakeAddiction,"452,348,651","5,502nd"
US,"Apr 29th, 2008","
$0 - $0 ",2239,"3,203,968",Howto,857,Bon Appétit,"403,173,364","6,290th"
US,"Apr 25th, 2007","
$8.7K - $139.8K ",2238,"3,204,208",Entertainment,535,Wong Fu Productions,"536,072,844","4,513th"
IN,"Dec 1st, 2011","
$154.7K - $2.5M ",2237,"3,211,159",Music,"7,529",Chanda,"901,027,301","2,402nd"
US,"Jun 22nd, 2011","
$602 - $9.6K ",2234,"3,206,924",Music,41,frenchmontana,"13,455,731","201,795th"
RU,"Jan 6th, 2009","
$36.7K - $587.8K ",2233,"3,205,545",Games,"3,443",Jove,"1,152,406,244","1,754th"
BR,"Jan 22nd, 2016","
$90.8K - $1.5M ",2232,"3,208,772",People,548,Farmees Português - Canções dos miúdos,"1,034,762,990","2,025th"
BR,"Apr 16th, 2015","
$68.1K - $1.1M ",2228,"3,210,427",People,26,Cúmplices de um Resgate,"23,082,034","121,400th"
FR,"Sep 29th, 2009","
$26.2K - $419.8K ",2225,"3,209,903",Games,120,Joueur Du Grenier,"650,939,060","3,590th"
IN,"Jan 22nd, 2010","
$97.7K - $1.6M ",2223,"3,218,641",Howto,741,Shruti Arjun Anand,"489,006,820","5,020th"
US,"Apr 3rd, 2015","
$45.2K - $722.6K ",2222,"3,213,218",People,"1,145",Brawadis,"629,781,602","3,716th"
DE,"Jun 10th, 2011","
$13.1K - $209.1K ",2221,"3,215,171",People,"3,455",Felix von der Laden,"1,274,295,086","1,562nd"
BR,"May 29th, 2013","
$89.7K - $1.4M ",2220,"3,221,361",Music,28,Mano Walter,"116,716,024","24,214th"
GB,"Jan 10th, 2006","
$107.5K - $1.7M ",2219,"3,220,325",Sports,"7,479",Olympic,"1,585,016,595","1,184th"
US,"Dec 18th, 2006","
$26.2K - $419.4K ",2218,"3,220,346",Comedy,49,Inanna Sarkis,"275,260,181","9,699th"
TR,"Dec 22nd, 2017","
$254.4K - $4.1M ",2217,"3,220,334",,"1,181",Sen Anlat Karadeniz,"1,757,353,331","1,022nd"
US,"Jul 27th, 2014","
$19.3K - $309.4K ",2216,"3,219,712",People,358,KianAndJc,"526,905,254","4,607th"
US,"Dec 10th, 2006","
$10.8K - $172K ",2215,"3,219,316",Music,198,schmoyoho,"925,964,049","2,316th"
US,"Apr 14th, 2008","
$3.6K - $57.9K ",2212,"3,222,122",Music,382,Tiffany Alvord,"661,190,407","3,518th"
JP,"Jun 3rd, 2012","
$19.4K - $310.9K ",2211,"3,224,884",People,965,Jeamileth Doll,"311,334,695","8,471st"
IN,"Dec 18th, 2016","
$151.7K - $2.4M ",2210,"3,228,060",Entertainment,69,Khandesh Fun,"602,954,467","3,918th"
